YEAR,  JAN ,  FEB ,  MAR ,  APR ,  MAY ,  JUN ,  JUL ,  AUG ,  SEP ,  OCT ,  NOV ,  DEC 
1893,1.3,0.0,0.0,5.1,79.0,90.2,70.9,132.1,67.3,7.6,2.5,19.1
1894,0.0,24.1,0.0,47.0,41.9,99.1,16.5,0.0,41.9,17.8,1.3,1.8
1895,7.6,49.5,2.5,30.5,5.6,20.3,65.8,111.8,6.6,97.8,8.9,7.6
1896,12.7,0.0,11.4,115.8,76.5,157.2,41.7,49.5,NA,NA,NA,NA
1896,NA,NA,NA,NA,NA,NA,NA,NA,124.5,95.3,0.0,7.6
1897,5.1,12.7,40.6,201.2,38.1,78.7,71.9,56.4,67.6,19.1,27.9,53.3
1898,31.8,6.4,6.4,60.5,264.7,45.0,59.9,35.6,183.1,50.8,50.8,16.5
1899,0.0,5.1,NA,11.4,53.3,153.2,NA,14.0,58.4,49.5,2.5,5.6
1900,2.5,34.3,0.0,161.3,87.1,85.6,78.0,87.9,75.7,32.0,19.1,17.8
1901,NA,36.8,31.8,141.0,35.8,38.9,12.7,144.0,65.5,65.0,0.0,34.3
1902,25.4,14.0,96.5,6.6,108.7,163.6,97.5,143.3,119.6,49.5,22.4,0.0
1903,3.8,106.7,26.2,51.1,256.0,111.8,69.1,115.6,14.0,NA,NA,NA
1904,2.5,1.5,0.0,22.4,NA,132.1,NA,NA,NA,74.7,21.8,13.0
1906,3.8,9.4,18.5,42.4,38.4,58.2,147.1,72.9,86.1,35.6,2.8,44.7
1907,16.3,5.6,21.6,15.2,21.1,126.2,232.4,79.2,44.5,44.7,45.5,0.8
1908,0.0,23.4,0.0,55.4,77.7,152.9,73.7,148.8,20.6,41.7,90.2,25.4
1909,9.9,7.1,29.5,11.9,40.6,259.3,94.2,37.6,70.6,9.1,0.0,3.6
1910,14.7,6.6,0.8,23.1,89.7,68.8,62.2,99.6,32.5,7.6,3.6,46.2
1911,3.0,53.8,3.6,20.8,57.7,20.6,53.1,113.5,52.1,13.0,28.7,0.8
1912,0.5,50.3,40.6,42.2,68.6,109.7,22.4,89.4,47.0,6.4,18.3,79.0
1913,9.1,17.3,10.4,70.6,145.3,89.7,16.0,2.8,121.9,33.8,0.0,16.0
1914,1.0,10.7,3.8,58.7,59.9,86.1,70.4,66.8,15.2,23.6,7.6,1.0
1915,17.3,45.7,44.2,79.5,173.2,100.8,207.8,104.4,62.0,29.0,0.5,15.5
1916,13.5,3.8,7.9,56.1,41.4,149.4,7.6,50.0,32.0,2.3,41.7,3.8
1917,2.8,0.0,1.8,49.8,43.7,54.6,37.1,145.5,46.7,61.2,27.9,60.5
1918,20.3,29.2,43.4,63.2,121.7,13.5,77.2,44.7,36.1,46.0,39.1,3.8
1919,0.0,55.4,8.4,114.6,174.0,89.2,29.5,19.6,84.3,90.9,18.5,11.7
1920,1.3,9.4,7.6,51.8,84.3,47.5,48.0,129.8,39.6,1.3,0.0,12.7
1921,10.2,2.5,12.4,90.9,65.8,93.2,85.3,77.2,17.3,8.1,32.5,0.0
1922,0.0,23.6,43.4,114.6,66.3,55.4,106.7,20.6,10.9,111.0,7.4,9.4
1923,0.0,2.5,26.4,41.4,100.8,151.4,17.8,105.4,114.8,11.7,6.4,28.2
1924,7.9,6.6,46.0,26.7,81.0,19.6,58.9,49.5,26.2,19.1,28.4,0.5
1925,1.3,6.1,9.7,108.5,25.7,104.9,170.9,84.6,25.1,15.2,28.4,9.4
1926,9.1,28.7,44.5,20.6,54.9,64.8,49.3,21.1,71.9,0.0,0.8,2.5
1927,1.0,24.9,47.0,78.5,46.7,204.0,46.2,168.4,71.1,51.1,47.8,0.5
1928,0.8,39.9,36.1,32.3,79.5,231.9,174.2,45.2,21.3,75.2,38.4,0.8
1929,5.1,13.0,0.3,58.4,100.3,39.1,181.4,72.1,90.9,133.4,66.8,3.6
1930,7.6,16.0,0.5,43.4,78.7,98.0,29.0,96.5,62.2,39.9,95.5,13.7
1931,0.5,5.3,100.6,84.6,47.0,139.7,47.0,82.0,6.1,42.9,3.0,4.6
1932,46.2,12.7,20.8,58.9,83.3,217.7,51.6,131.8,130.6,0.8,13.7,55.1
1933,1.8,5.3,8.4,54.4,71.6,27.2,53.8,69.3,51.6,13.2,19.1,0.5
1934,7.4,29.5,11.4,9.4,39.4,130.8,13.7,70.6,63.0,24.9,55.1,5.1
1935,0.0,7.1,3.8,5.3,159.3,129.5,0.3,50.3,114.8,67.1,0.0,12.7
1936,3.8,5.1,2.8,25.9,138.9,18.0,18.8,54.6,56.1,40.4,10.2,4.6
1937,23.9,9.9,10.9,9.7,37.8,68.1,125.5,71.6,41.1,0.8,7.6,0.0
1938,1.5,16.5,47.5,65.5,208.5,69.3,27.4,62.7,54.1,4.6,2.8,17.8
1939,12.2,26.7,24.9,41.9,25.4,119.6,26.4,89.7,10.7,15.7,65.5,20.8
1940,18.3,8.9,21.1,39.9,61.2,59.9,106.9,83.8,79.8,59.7,13.7,27.2
1941,27.4,21.6,14.7,117.1,72.6,162.6,16.0,105.2,76.7,48.5,2.3,31.0
1942,3.0,25.9,46.5,120.4,125.0,178.8,73.7,73.2,23.9,17.3,9.1,17.8
1943,2.3,20.1,19.1,36.8,64.0,25.7,71.9,68.3,58.9,33.8,35.1,23.6
1944,27.2,43.7,52.3,119.6,70.4,27.4,172.2,137.9,11.2,7.9,0.5,27.2
1945,17.3,17.0,2.0,92.2,96.0,134.4,42.4,42.9,35.6,101.1,74.9,1.3
1946,8.9,7.4,37.6,26.2,164.3,26.7,55.4,43.9,125.0,14.0,35.6,38.6
1947,11.2,1.8,29.2,56.4,134.9,177.3,22.1,52.3,2.0,8.1,44.7,6.4
1948,4.6,43.7,61.7,10.2,77.2,196.1,141.5,47.8,23.4,59.4,0.3,8.9
1949,34.3,19.8,42.2,45.7,84.1,211.3,21.8,56.1,16.0,67.1,5.8,0.8
1950,0.0,13.5,15.0,19.3,155.4,26.4,152.4,187.5,6.9,45.2,5.6,1.0
1951,15.7,37.6,44.5,88.1,185.2,333.5,119.1,80.3,145.0,0.0,31.0,21.1
1952,5.8,4.1,48.0,74.2,50.3,4.3,47.5,42.2,11.7,12.2,63.0,29.2
1953,4.3,17.5,50.5,31.8,41.7,67.8,132.6,67.8,16.8,49.0,0.0,3.3
1954,0.5,15.5,5.6,43.9,141.5,67.3,26.9,67.6,50.3,4.1,2.3,6.4
1955,11.4,16.3,3.8,76.5,63.0,94.0,53.1,13.0,193.8,18.8,1.3,0.5
1956,16.0,15.2,4.3,32.5,36.1,9.7,70.9,27.2,1.5,31.0,20.3,2.3
1957,4.8,2.8,62.0,54.4,103.6,171.2,79.0,99.6,88.6,13.7,12.7,3.3
1958,6.4,25.1,101.1,41.1,173.0,59.2,198.6,110.5,48.0,94.7,0.8,4.3
1959,9.7,6.4,21.1,13.5,162.6,39.4,91.9,57.2,119.1,50.0,8.6,18.8
1960,31.0,30.7,23.9,59.4,72.9,81.3,2.3,95.5,45.5,14.5,50.3,11.2
1961,0.0,7.4,33.8,32.3,114.8,119.4,87.6,147.3,100.6,10.7,8.9,6.6
1962,9.7,14.0,24.9,16.3,39.9,147.1,182.1,83.1,43.4,29.7,7.6,5.8
1963,3.8,2.8,43.2,1.3,24.1,78.0,127.0,22.9,216.9,2.5,38.4,4.3
1964,0.0,19.8,22.4,12.4,61.5,171.7,32.5,49.8,86.6,38.9,0.0,19.1
1965,4.6,18.3,25.1,19.3,99.8,165.6,125.0,54.9,51.6,20.6,3.0,16.0
1966,4.1,17.0,3.3,17.5,3.8,80.3,86.9,91.7,91.2,2.8,4.8,10.9
1967,4.6,0.0,2.5,49.0,66.0,196.3,176.8,14.2,72.4,88.9,16.8,14.2
1968,0.0,2.5,1.5,36.8,58.4,43.9,100.1,43.2,71.9,91.4,2.3,8.1
1969,2.0,36.3,32.5,66.0,85.6,136.1,61.2,90.9,25.4,21.3,5.6,0.0
1970,1.5,0.0,26.4,45.0,49.8,168.1,40.4,40.9,64.0,64.3,67.8,21.1
1971,11.4,50.5,7.1,79.8,115.8,47.2,106.2,20.1,11.9,14.5,64.5,14.2
1972,1.8,0.0,8.9,38.6,95.8,82.8,65.3,144.8,37.6,77.0,31.2,52.8
1973,15.5,5.1,201.2,48.3,63.2,18.5,161.0,87.6,127.5,61.7,19.3,6.1
1974,4.6,1.5,27.9,36.8,43.2,75.9,39.1,65.0,5.6,0.0,83.6,0.8
1975,6.9,22.1,23.4,83.6,98.0,167.9,2.3,53.1,32.5,38.9,1.5,0.0
1976,0.0,21.6,18.8,103.1,73.2,51.1,156.0,5.8,56.6,19.8,13.2,3.8
1977,17.8,4.3,13.0,58.2,86.6,43.9,57.7,180.3,16.5,1.8,57.2,7.1
1978,4.6,27.7,32.5,37.8,99.1,51.8,72.1,29.5,21.6,77.0,15.7,21.3
1979,42.4,10.9,164.1,46.7,25.9,33.8,97.8,53.6,10.7,22.9,0.0,13.7
1980,18.0,23.4,71.4,41.7,60.5,19.6,18.3,149.6,19.1,22.9,70.6,17.0
1981,5.6,1.5,50.5,53.8,127.3,29.5,131.8,31.8,65.0,27.9,11.4,28.2
1982,12.2,18.8,80.8,32.5,105.2,60.5,111.8,18.8,17.3,42.2,50.8,16.5
1983,13.2,27.7,52.3,31.8,52.8,39.1,9.7,47.2,22.6,95.5,2.3,54.1
1984,8.6,7.6,80.0,134.4,34.8,112.5,29.5,55.4,23.9,38.4,13.2,6.9
1985,22.9,8.1,18.8,74.9,93.2,0.0,118.1,75.2,79.8,71.1,15.0,19.1
1986,0.0,5.1,33.3,49.0,45.5,124.7,76.7,66.5,86.4,23.6,24.1,7.6
1987,4.6,31.0,165.9,81.8,60.7,95.8,67.3,113.8,10.9,10.2,15.2,5.6
1988,16.0,7.6,7.9,49.0,22.1,26.9,99.3,31.0,71.9,47.0,0.3,1.8
1989,1.5,NA,14.7,3.0,53.1,98.8,112.8,33.0,82.3,10.4,16.8,8.1
1990,23.1,6.1,62.2,102.1,103.6,49.5,84.8,106.4,41.7,13.7,25.7,42.2
1991,2.8,0.0,37.6,31.2,96.3,29.5,37.1,67.1,23.1,52.3,49.5,26.7
1992,31.5,30.5,30.2,7.4,100.3,153.4,98.3,103.4,41.1,14.0,10.2,26.9
1993,31.5,69.1,44.7,25.9,92.5,140.5,293.9,159.0,56.9,25.4,50.5,25.9
1994,19.1,12.2,2.3,68.8,26.4,18.3,139.7,6.9,17.0,4.6,4.8,11.2
1995,38.4,4.3,25.9,36.3,227.8,19.1,29.7,33.8,33.3,23.9,94.0,0.8
1996,9.4,2.0,33.0,17.8,178.8,110.0,130.3,128.5,78.7,64.3,4.1,41.4
1997,0.0,18.0,0.3,65.5,39.6,110.5,87.6,160.5,51.6,30.7,78.7,4.3
1998,3.0,45.5,48.0,88.9,52.8,27.9,174.2,61.5,29.7,2.3,4.3,4.6
