YEAR,  JAN ,  FEB ,  MAR ,  APR ,  MAY ,  JUN ,  JUL ,  AUG ,  SEP ,  OCT ,  NOV ,  DEC 
1952,-0.94,2.72,1.56,9.67,16.50,27.44,26.56,26.39,21.28,12.11,3.89,-2.61
1953,0.50,2.94,7.00,9.28,16.00,26.72,25.28,24.22,21.17,15.44,5.06,0.17
1954,-3.11,6.22,3.78,14.06,14.22,24.17,29.17,27.00,23.56,13.06,7.39,0.94
1955,-1.56,-4.06,4.00,14.00,18.39,21.06,28.44,26.61,21.44,13.78,2.72,-3.28
1956,-2.89,-3.94,5.28,9.22,18.78,25.56,26.00,26.67,21.83,15.94,4.11,0.89
1957,-6.83,1.61,3.78,9.39,15.50,21.17,26.89,25.56,17.67,12.50,3.33,3.17
1958,-0.11,-2.33,-3.17,9.78,17.89,22.00,23.67,24.28,21.22,13.94,5.83,-0.83
1959,-4.72,-1.61,5.39,10.67,17.89,23.83,23.44,27.61,19.56,10.89,2.11,2.33
1960,-3.94,-5.22,-1.78,13.22,15.94,21.50,24.78,25.33,21.17,14.06,5.11,-1.94
1961,-1.33,1.44,5.28,9.39,15.50,22.17,25.44,23.83,16.94,12.67,3.06,-4.11
1962,-4.56,1.44,2.89,11.39,21.06,21.67,24.61,25.17,18.39,14.50,5.72,0.56
1963,-7.50,2.06,7.44,13.78,19.06,24.89,27.72,26.33,21.78,18.11,6.44,-4.39
1964,0.22,-0.83,2.94,12.39,19.61,22.06,28.17,24.44,20.39,13.11,5.83,-2.72
1965,-1.06,-2.78,-0.61,13.39,18.94,21.83,25.89,23.94,17.06,14.28,7.56,1.06
1966,-5.50,-2.33,6.83,9.83,17.56,23.72,28.39,23.17,19.39,12.94,4.72,-2.28
1967,-1.78,1.17,7.39,13.11,15.00,21.11,22.89,23.06,18.06,12.61,5.06,-0.44
1968,-3.06,-0.39,7.39,10.94,14.22,24.11,25.78,25.28,19.44,13.78,4.11,-3.44
1969,-3.50,-0.22,0.72,12.44,17.33,19.89,26.11,24.33,20.11,10.17,5.83,0.17
1970,-3.83,2.17,1.89,10.67,19.28,22.17,25.72,27.06,18.78,10.72,3.61,0.78
1971,-3.72,-2.17,3.72,11.78,15.06,24.83,24.28,24.22,19.39,14.06,5.61,NA
1972,-3.61,0.11,8.11,11.33,16.56,22.67,24.11,23.56,19.22,11.22,2.39,-4.50
1973,-2.78,0.78,6.72,9.67,15.06,23.28,25.72,25.61,17.33,13.61,4.94,-1.83
1974,-5.50,2.56,7.06,12.22,18.17,21.94,27.61,22.50,16.39,14.28,5.44,-0.94
1975,-0.06,-2.78,1.39,10.33,17.06,21.33,25.67,26.17,18.28,13.50,4.56,1.33
1976,-1.11,5.00,5.22,12.78,14.50,22.39,25.56,25.67,19.44,9.56,2.44,0.33
1977,-6.72,3.39,7.33,13.50,19.56,24.50,28.11,23.89,20.56,13.28,5.28,-0.11
1978,-7.83,-6.67,4.56,13.56,16.17,23.22,27.06,25.22,22.00,13.17,4.61,-1.56
1979,-10.00,-6.00,5.67,11.28,15.72,22.67,26.06,23.83,21.33,14.89,3.50,2.00
1980,-2.22,-2.94,2.39,11.00,16.06,24.83,30.39,26.44,20.67,12.78,6.72,1.78
1981,0.39,1.56,6.78,16.00,14.83,24.06,25.78,24.00,20.22,12.44,6.61,0.33
