"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-29.7659906877828,3.81645425575178,-29.745999038396,3.80963756030588
"year t",0,0,0,0,-30.582722460974,4.05881598201537,-30.5437520911686,4.04817033604549
"year t-1",0,0,0,0,-30.7107099130469,3.79473258407424,-30.6786523738262,3.78752361313591
"year t-2",0,0,0,0,-30.6895339086979,3.71932423173324,-30.6522222881062,3.70891225050307
"move-win (gaussian)",0,0,0,0,-30.7926057193195,3.82879936350181,-30.7479156922597,3.81500269581579
"move-win (dirichlet)",0,0,0,0,-30.8809967563899,3.94332049278272,-30.784100325792,3.90165204102024
"move-win-nest (gaussian)",0,0,0,0,-30.7865427065182,3.90423809695927,-30.7322688903022,3.88499499113542
"move-win-nest (dirichlet)",0,0,0,0,-30.8947416241191,3.88139172831952,-30.8211150437653,3.85641503095438
"move-beta (hier)",0,0,0,0,-29.5227958695655,3.94718956845517,-28.4128790705307,3.78174196941128
"move-beta (gprc)",0,0,0,0,-30.8355494599176,4.06681932283386,-30.2235485455914,3.91114970281029
"move-beta-nest (hier)",0,0,0,0,-30.8207462353876,4.1237746252154,-30.3433567906174,4.00586834314234
"move-beta-nest (gprc)",0,0,0,0,-31.8781085677483,4.2507315137307,-31.4445462491249,4.09126200387541
