"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-19.5785493695637,2.771844658298,-19.5664856998946,2.76833478345764
"year t",0,0,0,0,-20.3883324901111,2.66326739026806,-20.351183871107,2.65524129284719
"year t-1",0,0,0,0,-20.5271368460138,2.70256607335186,-20.4913733012165,2.6960314793334
"year t-2",0,0,0,0,-20.2441818911001,2.70944911831989,-20.1921271585034,2.69657085600599
"move-win (gaussian)",0,0,0,0,-20.4221301386481,2.68318746559291,-20.3755497590017,2.67390910994099
"move-win (dirichlet)",0,0,0,0,-20.2515025583106,2.73307511679929,-20.1763084702949,2.71494791189663
"move-win-nest (gaussian)",0,0,0,0,-20.5030517078971,2.67669900287787,-20.4422137591056,2.66339923121416
"move-win-nest (dirichlet)",0,0,0,0,-20.3371706993473,2.64954401303303,-20.2621882203271,2.63810403978943
"move-beta (hier)",0,0,0,0,-21.3371000432527,2.60740221524048,-20.9157994086299,2.55227233430251
"move-beta (gprc)",0,0,0,0,-22.0985172599471,2.46751085605555,-21.5635454606891,2.37436147391408
"move-beta-nest (hier)",0,0,0,0,-21.4897927368661,2.63928744640854,-21.209525010239,2.60179811973337
"move-beta-nest (gprc)",0,0,0,0,-21.0614647031645,2.73678555570325,-20.7906939349119,2.70618949360921
