"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-45.7423587988448,4.34005595355931,-45.718978356818,4.33076607626618
"year t",0,0,0,0,-46.8090399312983,4.35493145130092,-46.7513466955042,4.33321632590278
"year t-1",0,0,0,0,-45.5979231591568,4.07588899819946,-45.5341651227477,4.0495604513639
"year t-2",0,0,0,0,-46.0716071849009,4.32422703271169,-46.0112982527822,4.29996611261186
"move-win (gaussian)",0,0,0,0,-46.5883488252185,4.18319097017298,-46.5002759970115,4.149838068428
"move-win (dirichlet)",0,0,0,0,-46.5131209296717,4.19594279728885,-46.4401255329108,4.17434014760283
"move-win-nest (gaussian)",0,0,0,0,-46.5241453325216,4.20056751941475,-46.4498125167228,4.17241149040158
"move-win-nest (dirichlet)",0,0,0,0,-46.6142974735627,4.32786311358863,-46.4509612672552,4.25763681557657
"move-beta (hier)",0,0,0,0,-47.2403142575607,4.0249015708222,-47.0474984668747,3.97772656754032
"move-beta (gprc)",0,0,0,0,-47.5166693831803,4.14132562405221,-47.2546218419909,4.06053666626658
"move-beta-nest (hier)",0,0,0,0,-47.6854049049309,4.2344249325483,-47.4038883052879,4.14039275810966
"move-beta-nest (gprc)",0,0,0,0,-47.2903567159355,4.17514495510594,-47.1419177618352,4.13112757534547
