"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-46.7475379945583,4.32098380771504,-46.7106737541512,4.29944333749698
"year t",0,0,0,0,-47.4926345380379,4.37802811056681,-47.4430187836893,4.35504135012689
"year t-1",0,0,0,0,-47.193490458737,4.6373265668389,-47.1404966175791,4.61262248871785
"year t-2",0,0,0,0,-47.7868742606405,4.24681958825148,-47.7526206890022,4.23370466654019
"move-win (gaussian)",0,0,0,0,-47.4826595101696,4.42269109382936,-47.4341314516573,4.40409508540719
"move-win (dirichlet)",0,0,0,0,-47.6362384271318,4.44611774712108,-47.5432994312654,4.41617738545041
"move-win-nest (gaussian)",0,0,0,0,-47.709975988596,4.41376932398292,-47.6129160105719,4.37735786143315
"move-win-nest (dirichlet)",0,0,0,0,-47.6026887678628,4.41220126545171,-47.5357301767276,4.38948556108657
"move-beta (hier)",0,0,0,0,-48.2986857886504,4.30226046725477,-47.9859378975441,4.2306402834316
"move-beta (gprc)",0,0,0,0,-47.2153354581113,4.44310600294653,-46.9250966264906,4.35407834328182
"move-beta-nest (hier)",0,0,0,0,-48.3844941395436,4.36667958681874,-48.1103635395722,4.30295298477381
"move-beta-nest (gprc)",0,0,0,1,-48.009350603354,4.42113756648471,-47.8194501841317,4.35787519416478
