"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-45.7150075532647,4.35756452355827,-45.6768260793817,4.33851888143275
"year t",0,0,0,0,-46.244641048554,4.31055616146822,-46.1575819717395,4.27439246934125
"year t-1",0,0,0,0,-46.56827326674,4.19629702304293,-46.5091874902402,4.17618201318151
"year t-2",0,0,0,0,-45.8525757496261,4.05634339333918,-45.7993231172643,4.0383665207484
"move-win (gaussian)",0,0,0,0,-45.6947968923927,4.15864588775919,-45.6335314038617,4.13608803485362
"move-win (dirichlet)",0,0,0,0,-45.2368945824995,4.03957170176616,-45.1289624549904,4.00497767913398
"move-win-nest (gaussian)",0,0,0,0,-45.8231162185985,4.10150247557484,-45.7724166891704,4.08725117826693
"move-win-nest (dirichlet)",0,0,0,0,-46.0084157390659,4.15759701183986,-45.863698128685,4.11234570457257
"move-beta (hier)",0,0,0,0,-45.0604525485426,3.60954706888688,-44.3674134983551,3.52203529505595
"move-beta (gprc)",0,0,0,0,-46.0078594807588,3.8969827973176,-45.5962029034485,3.81092496016949
"move-beta-nest (hier)",0,0,0,0,-46.7938318434486,3.94329990336795,-46.452022913379,3.87236863654874
"move-beta-nest (gprc)",0,0,0,0,-46.7128000925736,4.20736743397063,-46.3860727178619,4.09591104949133
