"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-26.2377037070817,4.2631281979104,-26.2065109988779,4.24692342223293
"year t",0,0,0,0,-27.7764297034962,4.98068608175676,-27.6009651940613,4.86351184883262
"year t-1",0,0,0,0,-27.1636447956869,4.04766754048362,-27.1166276838028,4.03062540725212
"year t-2",0,0,0,0,-27.2786752434444,4.24340751341195,-27.1994857741725,4.21502653471767
"move-win (gaussian)",0,0,0,0,-27.2730136566093,4.29260569310745,-27.1972259104223,4.26299177286401
"move-win (dirichlet)",0,0,0,0,-27.100806125655,4.41052258229859,-26.9884543899114,4.3560390936808
"move-win-nest (gaussian)",0,0,0,0,-27.2520331405521,4.38162781764134,-27.1599244515477,4.33845571983278
"move-win-nest (dirichlet)",0,0,0,0,-27.4022364509431,4.43567129337225,-27.231245273988,4.36217476351103
"move-beta (hier)",0,0,0,0,-28.0791446850547,4.44969323624203,-27.6385025534598,4.29481784000459
"move-beta (gprc)",0,0,0,0,-29.1726362327986,4.77892914140461,-28.3399393805502,4.33071645335301
"move-beta-nest (hier)",0,0,0,0,-28.2814202650154,4.56771677942595,-27.7283604290408,4.35922006161781
"move-beta-nest (gprc)",0,0,0,0,-27.846606338524,4.24798867723751,-27.664146549624,4.18584582131915
