"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-55.8704711693062,4.52576278553964,-55.8116855712779,4.497688227672
"year t",0,0,0,0,-56.2223833709633,4.26849182302415,-56.1421317082489,4.23381733938193
"year t-1",0,0,0,0,-55.0169998141991,4.24047063532114,-54.9661190279058,4.21739891220483
"year t-2",0,0,0,0,-56.1201528158219,5.29298226828136,-56.0063076775565,5.22817839911857
"move-win (gaussian)",0,0,0,0,-56.4647346843073,4.83089771324322,-56.3306852600769,4.77172184390785
"move-win (dirichlet)",0,0,0,0,-56.4357393342539,4.78605083963151,-56.2960655381089,4.71881663818541
"move-win-nest (gaussian)",0,0,0,0,-56.5451119118994,4.94436950875022,-56.3302425613213,4.82973401876896
"move-win-nest (dirichlet)",0,0,0,0,-56.0736631797189,4.89564779171995,-55.8467426444422,4.78353727547242
"move-beta (hier)",0,15,1,0,-49.2997676531085,3.22865817255886,-47.2080630087833,3.23613238678238
"move-beta (gprc)",0,8,0,2,-54.4836352846787,4.18082580609195,-53.891244853805,4.01402858296584
"move-beta-nest (hier)",0,0,0,0,-47.5558229231059,3.72182603172322,-45.8753738175202,3.44773914518021
"move-beta-nest (gprc)",0,44,5,0,-54.3496823537582,4.39532811523823,-53.8295796949838,4.37361830146283
